---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 NS 9-2  1.714e+02  [-19 1.054e-01 9.365e-02 5.062e-02]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 9-3  1.753e+02  [-33 2.056e-02 1.827e-02 1.885e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 9-4  1.792e+02  [-44 6.197e-03 5.507e-03 7.405e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 9-5  1.831e+02  [-45 5.446e-03 4.839e-03 9.600e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 10-1  1.871e+02  [0 1.000e+00 1.367e+00 7.712e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 10-2  1.909e+02  [-24 5.917e-02 8.089e-02 7.967e-02]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 10-3  1.951e+02  [-37 1.269e-02 1.735e-02 2.685e-01]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 10-4  1.994e+02  [-45 5.207e-03 7.118e-03 5.700e-01]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 10-5  2.034e+02  [-49 3.403e-03 4.652e-03 9.787e-01]  !9 0 89!  WARNING: The linear system solution has not converged
 NS 11-1  2.074e+02  [0 1.000e+00 6.255e-01 4.991e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 11-2  2.114e+02  [-19 1.108e-01 6.930e-02 2.725e-02]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 11-3  2.154e+02  [-34 1.895e-02 1.185e-02 1.321e-01]  !9 -1 90!  WARNING: The linear system solution has not converged
 NS 11-4  2.192e+02  [-47 4.401e-03 2.752e-03 5.178e-01]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 11-5  2.232e+02  [-50 3.150e-03 1.970e-03 9.353e-01]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 12-1  2.274e+02  [0 1.000e+00 5.762e-01 7.381e-03]  !9 0 91!  WARNING: The linear system solution has not converged
 NS 12-2  2.318e+02  [-18 1.132e-01 6.524e-02 4.118e-02]  !9 0 90!  WARNING: The linear system solution has not converged
 NS 12-3  2.357e+02  [-34 1.985e-02 1.144e-02 1.801e-01]  !9 0 92!  WARNING: The linear system solution has not converged
 NS 12-4  2.396e+02  [-45 5.520e-03 3.181e-03 9.141e-01]  !9 0 92!  WARNING: The linear system solution has not converged
